,t,v
0,0.0,-120.0
1,5e-05,-120.0
2,0.0001,-120.0
3,0.00015,-120.0
4,0.0002,-120.0
5,0.00025,-120.0
6,0.0003,-120.0
7,0.00035,-120.0
8,0.0004,-120.0
9,0.00045,-120.0
10,0.0005,-120.0
11,0.00055,-120.0
12,0.0006,-120.0
13,0.00065,-120.0
14,0.0007,-120.0
15,0.00075,-120.0
16,0.0008,-120.0
17,0.00085,-120.0
18,0.0009,-120.0
19,0.00095,-120.0
20,0.001,-120.0
21,0.00105,-120.0
22,0.0011,-120.0
23,0.00115,-120.0
24,0.0012,-120.0
25,0.00125,-120.0
26,0.0013,-120.0
27,0.00135,-120.0
28,0.0014,-120.0
29,0.00145,-120.0
30,0.0015,-120.0
31,0.00155,-120.0
32,0.0016,-120.0
33,0.00165,-120.0
34,0.0017,-120.0
35,0.00175,-120.0
36,0.0018,-120.0
37,0.00185,-120.0
38,0.0019,-120.0
39,0.00195,-120.0
40,0.002,-120.0
41,0.00205,-120.0
42,0.0021,-120.0
43,0.00215,-120.0
44,0.0022,-120.0
45,0.00225,-120.0
46,0.0023,-120.0
47,0.00235,-120.0
48,0.0024,-120.0
49,0.00245,-120.0
50,0.0025,-120.0
51,0.00255,-120.0
52,0.0026,-120.0
53,0.00265,-120.0
54,0.0027,-120.0
55,0.00275,-120.0
56,0.0028,-120.0
57,0.00285,-120.0
58,0.0029,-120.0
59,0.00295,-120.0
60,0.003,-120.0
61,0.00305,-120.0
62,0.0031,-120.0
63,0.00315,-120.0
64,0.0032,-120.0
65,0.00325,-120.0
66,0.0033,-120.0
67,0.00335,-120.0
68,0.0034,-120.0
69,0.00345,-120.0
70,0.0035,-120.0
71,0.00355,-120.0
72,0.0036,-120.0
73,0.00365,-120.0
74,0.0037,-120.0
75,0.00375,-120.0
76,0.0038,-120.0
77,0.00385,-120.0
78,0.0039,-120.0
79,0.00395,-120.0
80,0.004,-120.0
81,0.00405,-120.0
82,0.0041,-120.0
83,0.00415,-120.0
84,0.0042,-120.0
85,0.00425,-120.0
86,0.0043,-120.0
87,0.00435,-120.0
88,0.0044,-120.0
89,0.00445,-120.0
90,0.0045,-120.0
91,0.00455,-120.0
92,0.0046,-120.0
93,0.00465,-120.0
94,0.0047,-120.0
95,0.00475,-120.0
96,0.0048,-120.0
97,0.00485,-120.0
98,0.0049,-120.0
99,0.00495,-120.0
100,0.005,-120.0
101,0.00505,-120.0
102,0.0051,-120.0
103,0.00515,-120.0
104,0.0052,-120.0
105,0.00525,-120.0
106,0.0053,-120.0
107,0.00535,-120.0
108,0.0054,-120.0
109,0.00545,-120.0
110,0.0055,-120.0
111,0.00555,-120.0
112,0.0056,-120.0
113,0.00565,-120.0
114,0.0057,-120.0
115,0.00575,-120.0
116,0.0058,-120.0
117,0.00585,-120.0
118,0.0059,-120.0
119,0.00595,-120.0
120,0.006,-120.0
121,0.00605,-120.0
122,0.0061,-120.0
123,0.00615,-120.0
124,0.0062,-120.0
125,0.00625,-120.0
126,0.0063,-120.0
127,0.00635,-120.0
128,0.0064,-120.0
129,0.00645,-120.0
130,0.0065,-120.0
131,0.00655,-120.0
132,0.0066,-120.0
133,0.00665,-120.0
134,0.0067,-120.0
135,0.00675,-120.0
136,0.0068,-120.0
137,0.00685,-120.0
138,0.0069,-120.0
139,0.00695,-120.0
140,0.007,-120.0
141,0.00705,-120.0
142,0.0071,-120.0
143,0.00715,-120.0
144,0.0072,-120.0
145,0.00725,-120.0
146,0.0073,-120.0
147,0.00735,-120.0
148,0.0074,-120.0
149,0.00745,-120.0
150,0.0075,-120.0
151,0.00755,-120.0
152,0.0076,-120.0
153,0.00765,-120.0
154,0.0077,-120.0
155,0.00775,-120.0
156,0.0078,-120.0
157,0.00785,-120.0
158,0.0079,-120.0
159,0.00795,-120.0
160,0.008,-120.0
161,0.00805,-120.0
162,0.0081,-120.0
163,0.00815,-120.0
164,0.0082,-120.0
165,0.00825,-120.0
166,0.0083,-120.0
167,0.00835,-120.0
168,0.0084,-120.0
169,0.00845,-120.0
170,0.0085,-120.0
171,0.00855,-120.0
172,0.0086,-120.0
173,0.00865,-120.0
174,0.0087,-120.0
175,0.00875,-120.0
176,0.0088,-120.0
177,0.00885,-120.0
178,0.0089,-120.0
179,0.00895,-120.0
180,0.009,-120.0
181,0.00905,-120.0
182,0.0091,-120.0
183,0.00915,-120.0
184,0.0092,-120.0
185,0.00925,-120.0
186,0.0093,-120.0
187,0.00935,-120.0
188,0.0094,-140.0
189,0.00945,-140.0
190,0.0095,-140.0
191,0.00955,-140.0
192,0.0096,-140.0
193,0.00965,-140.0
194,0.0097,-140.0
195,0.00975,-140.0
196,0.0098,-140.0
197,0.00985,-140.0
198,0.0099,-140.0
199,0.00995,-140.0
200,0.01,-140.0
201,0.01005,-140.0
202,0.0101,-140.0
203,0.01015,-140.0
204,0.0102,-140.0
205,0.01025,-140.0
206,0.0103,-140.0
207,0.01035,-140.0
208,0.0104,-140.0
209,0.01045,-140.0
210,0.0105,-140.0
211,0.01055,-140.0
212,0.0106,-140.0
213,0.01065,-140.0
214,0.0107,-140.0
215,0.01075,-140.0
216,0.0108,-140.0
217,0.01085,-140.0
218,0.0109,-140.0
219,0.01095,-140.0
220,0.011,-140.0
221,0.01105,-140.0
222,0.0111,-140.0
223,0.01115,-140.0
224,0.0112,-140.0
225,0.01125,-140.0
226,0.0113,-140.0
227,0.01135,-140.0
